Merged: @_ZNK10xalanc_1_810ElemNumber8getXPathEj, @_ZNK10xalanc_1_817ElemDecimalFormat8getXPathEj = @_ZNK10xalanc_1_810ElemNumber8getXPathEj
Merged: @_ZN11xercesc_2_515BaseRefVectorOfINS_12SchemaAttDefEE19ensureExtraCapacityEj, @_ZN11xercesc_2_515BaseRefVectorOfItE19ensureExtraCapacityEj = @_ZN11xercesc_2_515BaseRefVectorOfINS_12SchemaAttDefEE19ensureExtraCapacityEj
Merged: @_ZN11xercesc_2_515BaseRefVectorOfINS_12SchemaAttDefEE19ensureExtraCapacityEj, @_ZN11xercesc_2_515BaseRefVectorOfINS_17SchemaElementDeclEE19ensureExtraCapacityEj = @_ZN11xercesc_2_515BaseRefVectorOfINS_12SchemaAttDefEE19ensureExtraCapacityEj
Merged: @_ZN11xercesc_2_515BaseRefVectorOfINS_12SchemaAttDefEE19ensureExtraCapacityEj, @_ZN11xercesc_2_515BaseRefVectorOfINS_15ContentSpecNodeEE19ensureExtraCapacityEj = @_ZN11xercesc_2_515BaseRefVectorOfINS_12SchemaAttDefEE19ensureExtraCapacityEj
Merged: @_ZN11xercesc_2_515BaseRefVectorOfINS_12SchemaAttDefEE19ensureExtraCapacityEj, @_ZN11xercesc_2_515BaseRefVectorOfINS_8IC_FieldEE19ensureExtraCapacityEj = @_ZN11xercesc_2_515BaseRefVectorOfINS_12SchemaAttDefEE19ensureExtraCapacityEj
Merged: @_ZN11xercesc_2_515BaseRefVectorOfINS_12SchemaAttDefEE19ensureExtraCapacityEj, @_ZN11xercesc_2_515BaseRefVectorOfINS_17DatatypeValidatorEE19ensureExtraCapacityEj = @_ZN11xercesc_2_515BaseRefVectorOfINS_12SchemaAttDefEE19ensureExtraCapacityEj
Merged: @_ZN11xercesc_2_515BaseRefVectorOfINS_12SchemaAttDefEE19ensureExtraCapacityEj, @_ZN11xercesc_2_515BaseRefVectorOfINS_18IdentityConstraintEE19ensureExtraCapacityEj = @_ZN11xercesc_2_515BaseRefVectorOfINS_12SchemaAttDefEE19ensureExtraCapacityEj
Merged: @_ZN11xercesc_2_515BaseRefVectorOfINS_12SchemaAttDefEE19ensureExtraCapacityEj, @_ZN11xercesc_2_515BaseRefVectorOfINS_9XMLNumberEE19ensureExtraCapacityEj = @_ZN11xercesc_2_515BaseRefVectorOfINS_12SchemaAttDefEE19ensureExtraCapacityEj
Merged: @_ZN11xercesc_2_515BaseRefVectorOfINS_12SchemaAttDefEE19ensureExtraCapacityEj, @_ZN11xercesc_2_515BaseRefVectorOfINS_18XercesLocationPathEE19ensureExtraCapacityEj = @_ZN11xercesc_2_515BaseRefVectorOfINS_12SchemaAttDefEE19ensureExtraCapacityEj
Merged: @_ZN11xercesc_2_515BaseRefVectorOfINS_10XercesStepEE19ensureExtraCapacityEj, @_ZN11xercesc_2_515BaseRefVectorOfINS_12SchemaAttDefEE19ensureExtraCapacityEj = @_ZN11xercesc_2_515BaseRefVectorOfINS_10XercesStepEE19ensureExtraCapacityEj
Merged: @_ZN11xercesc_2_515BaseRefVectorOfINS_10XercesStepEE19ensureExtraCapacityEj, @_ZN11xercesc_2_515BaseRefVectorOfINS_8ENameMapEE19ensureExtraCapacityEj = @_ZN11xercesc_2_515BaseRefVectorOfINS_10XercesStepEE19ensureExtraCapacityEj
Merged: @_ZN11xercesc_2_515BaseRefVectorOfINS_10XercesStepEE19ensureExtraCapacityEj, @_ZN11xercesc_2_515BaseRefVectorOfINS_7DOMNodeEE19ensureExtraCapacityEj = @_ZN11xercesc_2_515BaseRefVectorOfINS_10XercesStepEE19ensureExtraCapacityEj
